# source: bloom, gptj, opt
1,4096,16384
1,16384,4096
1,4096,4096
4,4096,16384
4,16384,4096
4,4096,4096
32,4096,16384
32,16384,4096
32,4096,4096
33,4096,16384
33,16384,4096
33,4096,4096
64,4096,16384
64,16384,4096
64,4096,4096
65,4096,16384
65,16384,4096
65,4096,4096
128,4096,16384
128,16384,4096
128,4096,4096
130,4096,16384
130,16384,4096
130,4096,4096
256,4096,16384
256,16384,4096
256,4096,4096
512,4096,16384
512,16384,4096
512,4096,4096
513,4096,16384
513,16384,4096
513,4096,4096
1024,4096,16384
1024,16384,4096
1024,4096,4096
1028,4096,16384
1028,16384,4096
1028,4096,4096
2016,4096,16384
2016,16384,4096
2016,4096,4096
1,50400,4096
1,50272,4096
4,50400,4096
4,50272,4096
1,250880,4096 false
4,250880,4096 false

# source: llama-7b
1,11008,4096
4,11008,4096
32,11008,4096
64,11008,4096
128,11008,4096
256,11008,4096
512,11008,4096
1024,11008,4096
2016,11008,4096
1,32000,4096
4,32000,4096

# source: llama-13b
1,13824,5120
1,5120,5120
4,13824,5120
4,5120,5120
32,13824,5120
32,5120,5120
64,13824,5120
64,5120,5120
128,13824,5120
128,5120,5120
256,13824,5120
256,5120,5120
512,13824,5120
512,5120,5120
1024,13824,5120
1024,5120,5120
2016,13824,5120
2016,5120,5120
1,32000,5120
4,32000,5120

1,7168,14336
1,1792,14336
4,7168,14336
4,1792,14336
32,7168,14336
32,1792,14336
1,14336,7168
1,14336,1792
4,14336,7168
4,14336,1792
32,14336,7168
32,14336,1792
1,250880,1792

1,2048,8192
1,3584,7168
1,7168,3584
1,7168,8192
1,8192,2048
1,8192,7168
1,256,8192
1,32000,2048
4,2048,8192
4,3584,7168
4,7168,3584
4,7168,8192
4,8192,2048
4,8192,7168
4,256,8192
4,32000,2048
1024,2048,8192
1024,7168,8192
1024,8192,2048
1024,8192,7168
1024,256,8192
